family,variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss,selected_disagreement,average_outer_steps,compute_multiplier,runtime_proxy_multiplier
round12_ultralow,margin_regime,1.5,overall,8683,0.015202119083266153,0.015151515151515152,0.9848484848484849,0.0,0.0010365081193136013,0.0,0.9651042266497755,0.966140734769089,-0.007483067963374014,-0.00023033513762524472,0.0010365081193136013,3.030404238166532,1.0101347460555108,1.0101347460555108
round12_ultralow,margin_regime,1.5,stable_positive_v2,4,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,-2.6397457122802734,-0.25,0.5,4.0,1.3333333333333333,1.3333333333333333
round12_ultralow,margin_regime,1.5,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,margin_regime,1.5,hard_near_tie,1489,0.008730691739422432,0.15384615384615385,0.8461538461538461,0.0,0.006044325050369375,0.0,0.9053055742108798,0.9066487575554063,-0.007091324949040359,-0.000671591672263264,0.001343183344526528,3.017461383478845,1.005820461159615,1.005820461159615
round12_ultralow,margin_regime,1.5,high_headroom_near_tie,70,0.12857142857142856,0.2222222222222222,0.7777777777777778,0.0,0.12857142857142856,0.0,0.0,0.02857142857142857,-0.15084261213030134,-0.014285714285714285,0.02857142857142857,3.257142857142857,1.0857142857142856,1.0857142857142856
round12_ultralow,margin_regime,1.5,baseline_error_near_tie,144,0.0625,0.2222222222222222,0.7777777777777778,0.0,0.0625,0.0,0.020833333333333332,0.034722222222222224,-0.07332626978556316,-0.006944444444444444,0.013888888888888888,3.125,1.0416666666666667,1.0416666666666667
round12_ultralow,margin_regime,1.5,large_gap_control,1921,0.052056220718375845,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0,0.001041124414367517,3.104112441436752,1.034704147145584,1.034704147145584
round12_ultralow,margin_regime,2.0,overall,8683,0.020039156973396293,0.011494252873563218,0.9885057471264368,0.0,0.0010365081193136013,0.0,0.9651042266497755,0.966140734769089,-0.007483067963374014,-0.00023033513762524472,0.0010365081193136013,3.0400783139467924,1.0133594379822641,1.0133594379822641
round12_ultralow,margin_regime,2.0,stable_positive_v2,4,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,-2.6397457122802734,-0.25,0.5,4.0,1.3333333333333333,1.3333333333333333
round12_ultralow,margin_regime,2.0,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,margin_regime,2.0,hard_near_tie,1489,0.008730691739422432,0.15384615384615385,0.8461538461538461,0.0,0.006044325050369375,0.0,0.9053055742108798,0.9066487575554063,-0.007091324949040359,-0.000671591672263264,0.001343183344526528,3.017461383478845,1.005820461159615,1.005820461159615
round12_ultralow,margin_regime,2.0,high_headroom_near_tie,70,0.12857142857142856,0.2222222222222222,0.7777777777777778,0.0,0.12857142857142856,0.0,0.0,0.02857142857142857,-0.15084261213030134,-0.014285714285714285,0.02857142857142857,3.257142857142857,1.0857142857142856,1.0857142857142856
round12_ultralow,margin_regime,2.0,baseline_error_near_tie,144,0.0625,0.2222222222222222,0.7777777777777778,0.0,0.0625,0.0,0.020833333333333332,0.034722222222222224,-0.07332626978556316,-0.006944444444444444,0.013888888888888888,3.125,1.0416666666666667,1.0416666666666667
round12_ultralow,margin_regime,2.0,large_gap_control,1921,0.07131702238417491,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0,0.001041124414367517,3.1426340447683496,1.0475446815894498,1.0475446815894498
round12_ultralow,mlp,0.1,overall,8683,0.0011516756881262238,0.0,1.0,0.0,0.0,0.0,0.9651042266497755,0.9651042266497755,0.0,0.0,0.0,3.0023033513762525,1.000767783792084,1.000767783792084
round12_ultralow,mlp,0.1,stable_positive_v2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,mlp,0.1,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,mlp,0.1,hard_near_tie,1489,0.001343183344526528,0.0,1.0,0.0,0.0,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0,0.0,3.002686366689053,1.0008954555630176,1.0008954555630176
round12_ultralow,mlp,0.1,high_headroom_near_tie,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
