family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,source_name
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.75,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249999999.74110195,-24999999.50809373,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.0,baseline_error_near_tie,2,144,31,4,2,0.2167663515338607,0.6666666666666666,0.08423913043478261,0.9157608695652174,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.37134068945179816,0.0,-0.007042253521126761,-0.021739130434782608,0.013891568589619912,-568975495.7557535,3.958380031499999,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.0,hard_near_tie,2,1489,31,4,2,0.019910395445498184,0.6666666666666666,0.08423913043478261,0.9157608695652174,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.37134068945179816,0.0,-0.0006009615384615385,-0.021739130434782608,0.0013619965460718885,-957497292.3703876,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.0,high_headroom_near_tie,2,70,30,4,2,0.42857142857142855,0.6666666666666666,0.08522727272727273,0.9147727272727273,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-0.378336949781938,0.0,-0.014285714285714285,-0.022727272727272728,0.02857142857142857,-228571426.5311045,4.485784566499996,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.0,large_gap_control,2,1921,8,0,0,0.0041443082159853435,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,-1.0476673444112141,0.0,0.0,0.0,0.0010309278350515464,-993278372.1746006,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.0,overall,2,8683,88,4,2,0.01013474941608445,0.6666666666666666,0.022727272727272728,0.9772727272727273,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.966485231594723,-0.009195785619622442,0.0,-0.9070645028894598,0.0,-0.00023020257826887662,-0.022727272727272728,0.0013825418269436866,-979151678.7756042,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.0,stable_near_tie,2,1436,31,4,2,0.02058730722202501,0.6666666666666666,0.08423913043478261,0.9157608695652174,0.0,0.0,0.0014160059953457183,0.0,0.9160198004180965,0.9174358064134422,-0.00714907157361397,0.0,-0.37134068945179816,0.0,-0.0006172839506172839,-0.021739130434782608,0.0014160059953457183,-955849406.2769463,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.0,stable_positive_v2,2,4,2,4,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-4.11990229288737,-3.5401077270507812,-5.279491424560547,-5.279491424560547,-0.5,-0.5,0.6666666666666666,-166666662.53451177,5.1604402715,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.0,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249999999.74110195,-24999999.50809373,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.25,baseline_error_near_tie,2,144,37,4,2,0.25901987266062126,0.6666666666666666,0.07974137931034483,0.9202586206896552,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.3394956424318511,0.0,-0.007042253521126761,-0.017241379310344827,0.013891568589619912,-568975495.7557535,3.958380031499999,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,1.25,hard_near_tie,2,1489,37,4,2,0.023516164676267416,0.6666666666666666,0.07974137931034483,0.9202586206896552,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.3394956424318511,0.0,-0.0006009615384615385,-0.017241379310344827,0.0013619965460718885,-957497292.3703876,-1000000000.0,rerun1
